epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,994.876,1.37318,1.38516,1.722,0.74952,0.738,0.75496,0.43964,1.49675,1.15463,1.81306,0.0002872,0.0002872,0.0002872
74,1007.19,1.35111,1.3759,1.70012,0.67411,0.76835,0.75945,0.45945,1.53324,1.17872,1.83199,0.0002773,0.0002773,0.0002773
75,1019.21,1.37596,1.40325,1.726,0.63683,0.78545,0.7675,0.4562,1.44994,1.16004,1.75586,0.0002674,0.0002674,0.0002674
76,1034.24,1.3452,1.35323,1.70361,0.74506,0.77182,0.78955,0.45132,1.55055,1.11955,1.84587,0.0002575,0.0002575,0.0002575
77,1046.2,1.36973,1.36278,1.71214,0.66184,0.7534,0.78536,0.47447,1.50879,1.11606,1.82595,0.0002476,0.0002476,0.0002476
78,1058.2,1.36375,1.35805,1.70711,0.66134,0.75978,0.75669,0.47159,1.37227,1.13169,1.71065,0.0002377,0.0002377,0.0002377
79,1073.06,1.35121,1.36647,1.70513,0.63216,0.78313,0.7629,0.46985,1.48448,1.16645,1.78929,0.0002278,0.0002278,0.0002278
80,1085.41,1.33769,1.32079,1.69068,0.61924,0.77392,0.74875,0.47242,1.45841,1.14852,1.74774,0.0002179,0.0002179,0.0002179
81,1097.27,1.34899,1.34259,1.70625,0.86676,0.64185,0.75421,0.46838,1.49081,1.145,1.7546,0.000208,0.000208,0.000208
82,1112.59,1.3299,1.33376,1.69237,0.72523,0.69577,0.77044,0.49531,1.39025,1.11397,1.70871,0.0001981,0.0001981,0.0001981
83,1124.92,1.33592,1.33591,1.69949,0.66963,0.70144,0.76172,0.45558,1.45386,1.16464,1.76696,0.0001882,0.0001882,0.0001882
84,1137.91,1.34601,1.31858,1.69943,0.72399,0.73338,0.78523,0.48826,1.42543,1.15165,1.73805,0.0001783,0.0001783,0.0001783
85,1152.95,1.3558,1.34951,1.7021,0.63466,0.79771,0.75084,0.44739,1.4859,1.14278,1.7641,0.0001684,0.0001684,0.0001684
86,1165.34,1.34178,1.32922,1.68758,0.72744,0.67757,0.73424,0.46154,1.42508,1.13891,1.73508,0.0001585,0.0001585,0.0001585
87,1179.78,1.32537,1.30973,1.68342,0.65176,0.76331,0.76421,0.47222,1.45246,1.13081,1.76001,0.0001486,0.0001486,0.0001486
88,1193.33,1.31856,1.30358,1.68181,0.68886,0.74358,0.75969,0.48041,1.42523,1.12309,1.72743,0.0001387,0.0001387,0.0001387
89,1205.63,1.32802,1.32334,1.68811,0.66891,0.75161,0.77837,0.47011,1.43476,1.12611,1.73011,0.0001288,0.0001288,0.0001288
90,1220.9,1.33342,1.31535,1.69504,0.73682,0.67639,0.76593,0.46076,1.44029,1.15228,1.74008,0.0001189,0.0001189,0.0001189
91,1233.91,1.36041,1.28936,1.71171,0.66693,0.76693,0.79195,0.49926,1.41212,1.09347,1.73864,0.000109,0.000109,0.000109
92,1246.23,1.33115,1.23911,1.70533,0.69802,0.80628,0.80399,0.49277,1.42744,1.08835,1.74024,9.91e-05,9.91e-05,9.91e-05
93,1261.59,1.31704,1.23154,1.69154,0.64739,0.80628,0.76547,0.48533,1.38958,1.07493,1.70995,8.92e-05,8.92e-05,8.92e-05
94,1274.08,1.30436,1.20034,1.67468,0.6391,0.77565,0.77579,0.49543,1.42411,1.07987,1.73366,7.93e-05,7.93e-05,7.93e-05
95,1286.74,1.29807,1.21294,1.67406,0.65008,0.80588,0.80491,0.4956,1.37529,1.10131,1.68982,6.94e-05,6.94e-05,6.94e-05
96,1303.28,1.30169,1.19253,1.67225,0.73757,0.68628,0.77019,0.47999,1.41883,1.09913,1.71679,5.95e-05,5.95e-05,5.95e-05
97,1316.03,1.30392,1.20044,1.67765,0.63272,0.78507,0.79026,0.49985,1.41072,1.09358,1.72074,4.96e-05,4.96e-05,4.96e-05
98,1328.8,1.29734,1.20172,1.66649,0.6191,0.80909,0.77652,0.48757,1.4164,1.07657,1.73158,3.97e-05,3.97e-05,3.97e-05
99,1344.96,1.27564,1.17762,1.65575,0.62529,0.78626,0.76246,0.47819,1.41761,1.10161,1.73229,2.98e-05,2.98e-05,2.98e-05
100,1357.58,1.27169,1.177,1.65674,0.64116,0.79978,0.784,0.49043,1.40062,1.0908,1.71858,1.99e-05,1.99e-05,1.99e-05
